scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2015,1,100,default age and gender,73210175,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2016,1,100,default age and gender,75692157,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2017,1,100,default age and gender,78241619,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2018,1,100,default age and gender,80851851,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2019,1,100,default age and gender,83514198,0.2343113696038845728,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2020,1,100,default age and gender,86222235,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2021,1,100,default age and gender,88973727,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2022,1,100,default age and gender,91768527,0.17725217582369967584,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2023,1,100,default age and gender,94609381,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2024,1,100,default age and gender,97501126,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2025,1,100,default age and gender,100447606,0.12906246915453484236,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2026,1,100,default age and gender,103450970,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2027,1,100,default age and gender,106507277,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2028,1,100,default age and gender,109618181,0.08814104495273282491,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2029,1,100,default age and gender,112785663,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2030,1,100,default age and gender,116010894,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2031,1,100,default age and gender,119296167,0.05331022904779278426,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2032,1,100,default age and gender,122637050,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2033,1,100,default age and gender,126031754,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2034,1,100,default age and gender,129477684,0.02361450144126517325,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2035,1,100,default age and gender,132972245,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2036,1,100,default age and gender,136515479,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2037,1,100,default age and gender,140103097,0.01396709033116512282,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2038,1,100,default age and gender,143732176,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2039,1,100,default age and gender,147399347,0,both
cholera-campaign-default-test,"Cholera: Cholera, with, campaign; test",Cholera,total,campaign,COD,"Congo, the Democratic Republic of the",2040,1,100,default age and gender,151101392,0.0129504605190863438,both
